id,cai_section,difficulty,time,km,ascent,download_link,description
200,Pesaro,EE,10:00,26^8,2715,https://www.caifabriano.it/wp/cpc/?wpfb_dl=192,dummy description
232,Gubbio,E,3:00,8^9,676,https://www.caifabriano.it/wp/cpc/?wpfb_dl=229,dummy description
252,Pesaro,EE,1:30,2^6,420,https://www.caifabriano.it/wp/cpc/?wpfb_dl=265,dummy description
253,Pesaro,E,1:30,4^3,1110,https://www.caifabriano.it/wp/cpc/?wpfb_dl=267,dummy description
254,Pesaro,EE,5:30,16^3,2149,https://www.caifabriano.it/wp/cpc/?wpfb_dl=268,dummy description
259,Pesaro,E,2:30,5^3,875,https://www.caifabriano.it/wp/cpc/?wpfb_dl=270,dummy description
260,Pesaro,EE,7:30,22^1,1857,https://www.caifabriano.it/wp/cpc/?wpfb_dl=271,dummy description
261,Pesaro,E,2:00,5^6,754,https://www.caifabriano.it/wp/cpc/?wpfb_dl=274,dummy description
273,Pesaro,E,2:00,6^3,509,https://www.caifabriano.it/wp/cpc/?wpfb_dl=276,dummy description
275.,Pesaro,E,4:00,10^8,703,https://www.caifabriano.it/wp/cpc/?wpfb_dl=291,dummy description
284,Gubbio,EEA,1:45,3^2,767,https://www.caifabriano.it/wp/cpc/?wpfb_dl=305,dummy description
285,Gubbio,E,0:45,1^8,220,https://www.caifabriano.it/wp/cpc/?wpfb_dl=306,dummy description
289,Gubbio,E,1:30,3^2,520,https://www.caifabriano.it/wp/cpc/?wpfb_dl=310,dummy description
299,Gubbio,E,1:30,1^8,470,https://www.caifabriano.it/wp/cpc/?wpfb_dl=320,dummy description
250SF,Pesaro,EE,8:20,22^4,2838,https://www.caifabriano.it/wp/cpc/?wpfb_dl=264,dummy description
252A,Pesaro,E,2:00,2^5,636,https://www.caifabriano.it/wp/cpc/?wpfb_dl=266,dummy description
254A,Pesaro,E,0:40,1,262,https://www.caifabriano.it/wp/cpc/?wpfb_dl=269,dummy description
260A,Pesaro,E,0:45,1^5,401,https://www.caifabriano.it/wp/cpc/?wpfb_dl=272,dummy description
260B,Pesaro,E,1:30,2^5,547,https://www.caifabriano.it/wp/cpc/?wpfb_dl=273,dummy description
261A,Pesaro,E,0:25,1^5,221,https://www.caifabriano.it/wp/cpc/?wpfb_dl=275,dummy description
275A,Pesaro,E,0:20,1^1,73,https://www.caifabriano.it/wp/cpc/?wpfb_dl=285,dummy description
Via_Pastori,Pesaro,E,3:00,8,546,https://www.caifabriano.it/wp/cpc/?wpfb_dl=321,dummy description
126,Fabriano,E,0:45,2^7,285,https://www.caifabriano.it/wp/cpc/?wpfb_dl=60,dummy description
127,Fabriano,E,1:30,3^1,449,https://www.caifabriano.it/wp/cpc/?wpfb_dl=61,dummy description
136,Fabriano,E,1:50,4^1,581,https://www.caifabriano.it/wp/cpc/?wpfb_dl=90,dummy description
225,Gubbio,E,1:20,5^1,148,https://www.caifabriano.it/wp/cpc/?wpfb_dl=221,dummy description
226,Gubbio,EE,2:35,5^9,572,https://www.caifabriano.it/wp/cpc/?wpfb_dl=222,dummy description
227,Gubbio,E,0^45,1^6,250,https://www.caifabriano.it/wp/cpc/?wpfb_dl=223,dummy description
228,Gubbio,E,0:10,0^3,40,https://www.caifabriano.it/wp/cpc/?wpfb_dl=224,dummy description
229,Gubbio,E,3:20,7^7,827,https://www.caifabriano.it/wp/cpc/?wpfb_dl=225,dummy description
230,Gubbio,EE,2:15,5,18,https://www.caifabriano.it/wp/cpc/?wpfb_dl=226,dummy description
231,Gubbio,E,3:20,7^3,642,https://www.caifabriano.it/wp/cpc/?wpfb_dl=227,dummy description
233,Gubbio,E,1:40,4^8,144,https://www.caifabriano.it/wp/cpc/?wpfb_dl=230,dummy description
234,Gubbio,E,1:10,2^5,46,https://www.caifabriano.it/wp/cpc/?wpfb_dl=231,dummy description
235,Gubbio,E,4:30,14^7,1087,https://www.caifabriano.it/wp/cpc/?wpfb_dl=232,dummy description
236,Gubbio,EE,1:20,3^2,130,https://www.caifabriano.it/wp/cpc/?wpfb_dl=233,dummy description
237,Gubbio,T,0:30,1^4,42,https://www.caifabriano.it/wp/cpc/?wpfb_dl=234,dummy description
238,Gubbio,E,1:00,2^2,270,https://www.caifabriano.it/wp/cpc/?wpfb_dl=235,dummy description
239,Gubbio,E,0:30,1^2,128,https://www.caifabriano.it/wp/cpc/?wpfb_dl=236,dummy description
240,Gubbio,E,0:30,1^5,36,https://www.caifabriano.it/wp/cpc/?wpfb_dl=237,dummy description
241,Gubbio,E,0:30,0^5,9,https://www.caifabriano.it/wp/cpc/?wpfb_dl=238,dummy description
242,Gubbio,E,0:10,0^4,0,https://www.caifabriano.it/wp/cpc/?wpfb_dl=240,dummy description
275,Gubbio,E,0:15,0^5,0,https://www.caifabriano.it/wp/cpc/?wpfb_dl=284,dummy description
276,Gubbio,E,0:20,0^5,3,https://www.caifabriano.it/wp/cpc/?wpfb_dl=292,dummy description
277,Gubbio,E,0:30,1,119,https://www.caifabriano.it/wp/cpc/?wpfb_dl=298,dummy description
278,Gubbio,E,2:20,5^7,578,https://www.caifabriano.it/wp/cpc/?wpfb_dl=299,dummy description
279,Gubbio,E,1:00,2,275,https://www.caifabriano.it/wp/cpc/?wpfb_dl=300,dummy description
280,Gubbio,E,1:30,3^5,579,https://www.caifabriano.it/wp/cpc/?wpfb_dl=301,dummy description
281,Gubbio,E,1:20,3^6,543,https://www.caifabriano.it/wp/cpc/?wpfb_dl=302,dummy description
